Species.ID,Common.Name,TaxonLevel,TaxonID,TaxonName,TaxonScientificName,FamilyCommonName,FamilyScientificName,Order
112,Caspian Tern,sp,u112,Caspian Tern,Hydroprogne caspia,"Gulls, Terns and Noddies",Laridae,Charadriiformes
115,Greater Crested Tern,sp,115,Greater Crested Tern,Thalasseus bergii,"Gulls, Terns and Noddies",Laridae,Charadriiformes
125,Silver Gull,sp,125,Silver Gull,Larus novaehollandiae,"Gulls, Terns and Noddies",Laridae,Charadriiformes
8794,Australian Gull-billed Tern,sp,u8794,Australian Gull-billed Tern,Gelochelidon macrotarsa,"Gulls, Terns and Noddies",Laridae,Charadriiformes
110,Whiskered Tern,sp,110,Whiskered Tern,Chlidonias hybrida,"Gulls, Terns and Noddies",Laridae,Charadriiformes
117,Little Tern,sp,117,Little Tern,Sternula albifrons,"Gulls, Terns and Noddies",Laridae,Charadriiformes
953,Common Tern,sp,953,Common Tern,Sterna hirundo,"Gulls, Terns and Noddies",Laridae,Charadriiformes
114,White-fronted Tern,sp,114,White-fronted Tern,Sterna striata,"Gulls, Terns and Noddies",Laridae,Charadriiformes
126,Pacific Gull,sp,126,Pacific Gull,Larus pacificus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
118,Fairy Tern,sp,118,Fairy Tern,Sternula nereis,"Gulls, Terns and Noddies",Laridae,Charadriiformes
109,White-winged Black Tern,sp,u109,White-winged Black Tern,Chlidonias leucopterus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
116,Lesser Crested Tern,sp,116,Lesser Crested Tern,Thalasseus bengalensis,"Gulls, Terns and Noddies",Laridae,Charadriiformes
981,Kelp Gull,sp,981,Kelp Gull,Larus dominicanus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
104,Australasian Gannet,sp,u104,Australasian Gannet,Morus serrator,Gannets and Boobies,Sulidae,Pelecaniformes
95,Lesser Frigatebird,sp,95,Lesser Frigatebird,Fregata ariel,Frigatebirds,Fregatidae,Pelecaniformes
113,Roseate Tern,sp,113,Roseate Tern,Sterna dougallii,"Gulls, Terns and Noddies",Laridae,Charadriiformes
122,Brown Noddy,sp,122,Brown Noddy,Anous stolidus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
121,Bridled Tern,sp,121,Bridled Tern,Onychoprion anaethetus,"Gulls, Terns and Noddies",Laridae,Charadriiformes
102,Brown Booby,sp,102,Brown Booby,Sula leucogaster,Gannets and Boobies,Sulidae,Pelecaniformes
67,Little Shearwater,sp,67,Little Shearwater,Puffinus assimilis,Petrels and Shearwaters,Procellariidae,Procellariiformes
83,Fairy Prion,sp,u83,Fairy Prion,Pachyptila turtur,Petrels and Shearwaters,Procellariidae,Procellariiformes
71,Short-tailed Shearwater,sp,u71,Short-tailed Shearwater,Ardenna tenuirostris,Petrels and Shearwaters,Procellariidae,Procellariiformes
128,Arctic Jaeger,sp,u128,Arctic Jaeger,Stercorarius parasiticus,Skuas and Jaegers,Stercorariidae,Charadriiformes
119,Black-naped Tern,sp,119,Black-naped Tern,Sterna sumatrana,"Gulls, Terns and Noddies",Laridae,Charadriiformes
972,White Tern,sp,972,White Tern,Gygis alba,"Gulls, Terns and Noddies",Laridae,Charadriiformes
