Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
16866,Acacia amoena,Boomerang Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Vulnerable,Acacia amoena,,,,,,,,,,,,,,,,,,,,,
2299,Acacia ampliceps,"Salt Wattle, Jila Jila, Nyarlka",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia ampliceps,,,,,,,,,,,,,,,,,
94111,Acacia anadenia, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia anadenia,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
5912,Acacia anastema, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia anastema,,,,,,,,,,,,,,,,,
18957,Acacia anaticeps, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia anaticeps,,,,,,,,,,,,,,,,,
8796,Acacia ancistrocarpa,Fitzroy Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia ancistrocarpa,,,,,,,,,,,,,,,,,
75076,Acacia ancistrophylla var. lissophylla,Dwarf Myall,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Endangered,Acacia ancistrophylla var. lissophylla,,,,,,,,,,,,,,,,,,,,,
21561,Acacia aneura,Mulga,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aneura,,,,,,,,,,,,,,,,,
9393,Acacia anfractuosa, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia anfractuosa,,,,,,,,,,,,,,,,,
9451,Acacia angusta, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia angusta,,,,,,,,,,,,,,,,,
8153,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Acacia anomala,16-Jul-00,,26-Mar-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia anomala,,,,,,,,,,Endemic,,,,,,,,,
75010,Acacia anthochaera,Kimberly's Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia anthochaera,,,,,,,,,,,,,,,,,
13553,Acacia aphylla,Leafless Rock Wattle,Vulnerable,Acacia aphylla,16-Jul-00,,3-Jul-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia aphylla,Vulnerable,Acacia aphylla,,,,,,,,Endemic,,,,,,,,,
21627,Acacia aprepta,Woolly Burr Medic,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aprepta,,,,,,,,,,,,,,,,,
64821,Acacia aprica,Blunt Wattle,Endangered,Acacia aprica,16-Jul-00,,15-Jul-16,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia aprica,Endangered,Acacia aprica,,,,,,,,Endemic,,,,,,,,,
20767,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Acacia araneosa,16-Jul-00,,3-Jul-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Endangered,Acacia araneosa,,,,,,,,,,,,,Endemic,,,,,,,,,,,,
74994,Acacia arbiana, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Near Threatened,Acacia arbiana,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
84842,Acacia argentina, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia argentina,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
5636,Acacia argyraea, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia argyraea,,,,,,,,,,,,,,,,,
20510,Acacia argyrodendron,"Blackwood, Black Gidyea",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia argyrodendron,,,,,,,,,,,,,,,,,
19336,Acacia argyrophylla,Silver Mulga,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Extinct,Acacia argyrophylla,,,,,,,,,,,,,,,,,,,,,
75085,Acacia argyrotricha, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia argyrotricha,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
64822,Acacia aristulata,Watheroo Wattle,Endangered,Acacia aristulata,16-Jul-00,,3-Jul-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia aristulata,,,,,,,,,,Endemic,,,,,,,,,
55054,Acacia armillata, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia armillata,,,,,,,,,,,,,,,,,
